Round,Player_1,Player_2
2,Sinner J.,Gasquet R.
2,Lehecka J.,Fokina A. Davidovich
2,Rublev A.,Walton A.
2,Munar J.,Fils A.
2,Minaur A. de,Bublik A.
2,Rocha H.,Mensik J.
2,Fonseca J.,Herbert P.
2,Monfils G.,Draper J.
2,Zverev A.,Jong J. De
2,Cobolli F.,Arnaldi M.
2,Diallo G.,Griekspoor T.
2,Shevchenko A.,Quinn E.
2,Norrie C.,Gomez F.
2,Fearnley J.,Humbert U.
2,Shapovalov D.,Misolic F.
2,Moutet C.,Djokovic N.
2,Musetti L.,Galan D.
2,Opelka R.,Navone M.
2,Halys Q.,Kecmanovic M.
2,Nava E.,Rune H.
2,Tiafoe F.,Busta P. Carreno
2,Brooksby J.,Korda S.
2,Cerundolo J.,Medjedovic H.
2,Kopriva V.,Altmaier D.
2,Ruud C.,Borges N.
2,Tabilo A.,Popyrin A.
2,Khachanov K.,Ofner S.
2,Fucsovics M.,Paul T.
2,Shelton B.,Gaston H.
2,Gigante M.,Tsitsipas S.
2,Perricard G. Mpetshi,Dzumhur D.
2,Marozsan F.,Alcaraz C.
