Date,Player,Elo
2000-03-06,Vicente F.,1520.3063149805055
2000-03-06,El Aynaoui Y.,1516.9839481879096
2000-03-06,Portas A.,1504.4092110734198
2000-03-06,Puerta M.,1598.6289788095403
2000-03-06,Sanguinetti D.,1472.105335033377
2000-03-06,Stanoytchev O.,1486.4481627122414
2000-03-06,Portas A.,1520.314542934801
2000-03-06,Prieto S.,1488.1338963233375
2000-03-06,Kuerten G.,1603.7139794374384
2000-03-06,Puerta M.,1610.9368002776644
2000-03-06,El Aynaoui Y.,1504.6761267197855
2000-03-06,di Pasquale A.,1471.8678936986007
2000-03-06,Zib T.,1480.6917682729836
2000-03-06,Mantilla F.,1519.2497915543167
2000-03-06,Chela J.I.,1552.3137069551744
2000-03-06,El Aynaoui Y.,1521.39543829379
2000-03-06,Vicente F.,1503.587003406501
2000-03-06,Blanco G.,1455.0756854657673
2000-03-06,Mantilla F.,1532.9412012349487
2000-03-06,Rodriguez M.,1468.2615178283995
2000-03-06,Vicente F.,1518.6551753143353
2000-03-06,Puerta M.,1623.4041155615384
2000-03-06,Mantilla F.,1520.4738859510746
2000-03-06,Etlis G.,1469.1090812046923
2000-03-06,El Aynaoui Y.,1535.6510177992445
2000-03-06,Vicente F.,1533.0309513438192
2000-03-06,Tieleman L.,1468.887917176994
2000-03-06,Gonzalez P.,1482.5811573950882
2000-03-06,Etlis G.,1486.527923809604
2000-03-06,Hantschk M.,1503.5104411545442
2000-03-06,Gumy H.,1484.0981852490443
2000-03-06,Ulihrach B.,1485.095676666127
2000-03-06,Zib T.,1497.6754614892373
2000-03-06,Marin J.A.,1455.2859365749093
2000-03-06,Rodriguez M.,1484.40751691273
2000-03-06,Puerta M.,1633.9486539761956
2000-03-06,Cortes J.,1489.4554615853428
2000-03-06,Balcells J.,1483.4537581034426
2000-03-06,Prieto S.,1504.6801382198948
2000-03-06,Kuerten G.,1613.7612228981968
2000-03-06,Bruguera S.,1457.8898819882322
2000-03-06,Hadad M.,1484.1616562884262
2000-03-06,Hantschk M.,1519.348784866118
2000-03-06,Diaz J.,1451.4788491367378
2000-03-06,di Pasquale A.,1487.6560262551088
2000-03-06,Portas A.,1535.3828488586867
2000-03-06,Canas G.,1484.9918433649743
2000-03-06,El Aynaoui Y.,1549.295645248561
2000-03-06,Lisnard J.,1470.4857818116016
2000-03-06,Chela J.I.,1565.20766866854
2000-03-06,Lopez-Moron A.,1471.1060382866344
2000-03-06,Sanguinetti D.,1491.4234642592728
2000-03-06,Gaudio G.,1525.8999031670382
2000-03-06,Kuerten G.,1598.689843656098
2000-03-06,Puerta M.,1649.0200332182944
2000-03-06,Gumy H.,1500.0936636513486
2000-03-06,Massu N.,1468.0045215976957
2000-03-06,Agenor R.,1484.0464718564087
2000-03-06,Stanoytchev O.,1503.1042330793405
2000-04-10,Clavet F.,1500.703956876504
2000-04-10,Kafelnikov Y.,1483.2621349933268
2000-04-10,Burrieza O.,1484.0
2000-04-10,Henman T.,1516.0
2000-04-10,Vicente F.,1547.5143861981892
2000-04-10,Grosjean S.,1485.51656514563
2000-04-10,Gaudio G.,1540.0246750622996
2000-04-10,Canas G.,1470.867071469713
2000-04-10,Pavel A.,1484.0339081301693
2000-04-10,Fromberg R.,1516.7023986633528
2000-04-10,Ferrero J.C.,1516.0
2000-04-10,Zabaleta M.,1484.0
2000-04-10,Marques N.,1484.0
2000-04-10,Escude N.,1516.0
2000-04-10,Ljubicic I.,1484.7040256829766
2000-04-10,Lapentti N.,1530.5935756536705
2000-04-10,di Pasquale A.,1474.3856514921374
2000-04-10,Vicente F.,1560.7847609611606
2000-04-10,Vicente F.,1574.013733995218
2000-04-10,Wiltschnig H.,1486.7710269659426
2000-04-10,Arazi H.,1487.3578174872496
2000-04-10,Vicente F.,1586.6559165079684
2000-04-10,Puerta M.,1660.5496522163294
2000-04-10,El Aynaoui Y.,1537.766026250526
2000-04-10,Bruguera S.,1443.1594631257497
2000-04-10,Grosjean S.,1500.2469840081126
2000-04-10,di Pasquale A.,1491.5631033644372
2000-04-10,Vinciguerra A.,1482.8225481277002
2000-04-10,Alami K.,1483.2095930213184
